Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS6.pHMO.0.2,Child_6,Nonconverter,pHMOs,0,2,20210125_ex8_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.0.3,Child_6,Nonconverter,pHMOs,0,3,20210125_ex9_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.12.1,Child_6,Nonconverter,pHMOs,12,1,20210125_ex16_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.12.2,Child_6,Nonconverter,pHMOs,12,2,20210125_ex17_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.12.3,Child_6,Nonconverter,pHMOs,12,3,20210125_ex18_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.24.1,Child_6,Nonconverter,pHMOs,24,1,20210125_ex25_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.24.2,Child_6,Nonconverter,pHMOs,24,2,20210125_ex26_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.24.3,Child_6,Nonconverter,pHMOs,24,3,20210125_ex27_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.36.1,Child_6,Nonconverter,pHMOs,36,1,20210125_ex34_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.36.2,Child_6,Nonconverter,pHMOs,36,2,20210125_ex35_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.36.3,Child_6,Nonconverter,pHMOs,36,3,20210125_ex36_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.48.1,Child_6,Nonconverter,pHMOs,48,1,20210125_ex43_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.48.2,Child_6,Nonconverter,pHMOs,48,2,20210125_ex44_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.48.3,Child_6,Nonconverter,pHMOs,48,3,20210125_ex45_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.60.1,Child_6,Nonconverter,pHMOs,60,1,20210125_ex52_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.60.2,Child_6,Nonconverter,pHMOs,60,2,20210125_ex53_p1.cnx,,,,,,,,,p1.cnx
NS6.pHMO.60.3,Child_6,Nonconverter,pHMOs,60,3,20210125_ex54_p1.cnx,,,,,,,,,p1.cnx
S2.2FL.0.1,Child_2,Seroconverter,2FL,0,1,SR_20201202_ex1034_p1.cnx,,,,,,,,,
S2.2FL.0.2,Child_2,Seroconverter,2FL,0,2,SR_20201202_ex35_p1.cnx,,,,,,,,,
S2.2FL.0.3,Child_2,Seroconverter,2FL,0,3,SR_20201202_ex36_p1.cnx,,,,,,,,,
S2.2FL.12.1,Child_2,Seroconverter,2FL,12,1,SR_20201202_ex43_p1.cnx,,,,,,,,,
